S.No,Country/Region,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Exports_Growth_%,Imports_Growth_%
166,SAMOA,14.08,159.62,173.71,-145.54,13.07,26.59,39.66,-13.52,-7.17,-83.34
167,SAN MARINO,3.69,0.48,4.17,3.21,27.12,0.96,28.08,26.16,635.09,99.44
168,SAO TOME,12.44,0.18,12.63,12.26,,,0.0,0.0,,
169,SAUDI ARAB,75349.64,211348.98,286698.61,-135999.34,81871.84,207459.77,289331.61,-125587.92,8.66,-1.84
170,SENEGAL,6461.98,4614.32,11076.3,1847.66,7036.19,5493.86,12530.05,1542.32,8.89,19.06
171,SERBIA,703.94,130.32,834.26,573.62,658.25,178.02,836.27,480.22,-6.49,36.61
172,SEYCHELLES,517.21,62.49,579.7,454.73,1568.24,1293.4,2861.65,274.84,203.21,1969.85
173,SIERRA LEONE,1843.1,205.64,2048.74,1637.46,2754.41,157.2,2911.61,2597.21,49.44,-23.56
174,SINGAPORE,90789.86,148333.28,239123.15,-57543.42,95317.87,149978.96,245296.83,-54661.09,4.99,1.11
175,SINT MAARTEN (DUTCH PART),2.9,0.01,2.91,2.89,,,0.0,0.0,,
176,SLOVAK REP,1261.16,440.55,1701.7,820.61,2599.37,507.08,3106.46,2092.29,106.11,15.1
177,SLOVENIA,3891.64,2144.55,6036.19,1747.08,3920.57,1826.61,5747.18,2093.96,0.74,-14.83
178,SOLOMON IS,22.67,50.82,73.48,-28.15,18.31,90.17,108.48,-71.86,-19.23,77.44
179,SOMALIA,5087.76,207.5,5295.26,4880.25,5151.18,253.31,5404.49,4897.87,1.25,22.07
180,SOUTH AFRICA,56375.41,66845.46,123220.87,-10470.05,54234.93,80350.76,134585.7,-26115.83,-3.8,20.2
181,SOUTH SUDAN,287.14,1.33,288.47,285.82,156.02,1.16,157.19,154.86,-45.66,-12.28
182,SPAIN,31514.43,17744.24,49258.67,13770.19,32831.71,15244.26,48075.97,17587.44,4.18,-14.09
183,SRI LANKA DSR,24509.57,10151.8,34661.37,14357.78,32301.92,8773.54,41075.46,23528.37,31.79,-13.58
184,ST HELENA,0.0,0.44,0.44,-0.43,1.07,0.14,1.2,0.93,,
185,ST KITT N A,31.44,0.54,31.98,30.9,,,0.0,0.0,,
